Macrotrends Data Download

Canada Population 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,13743069
1951-12-31,14085724,2.49
1952-12-31,14485745,2.84
1953-12-31,14901525,2.87
1954-12-31,15323201,2.83
1955-12-31,15733923,2.68
1956-12-31,16167047,2.75
1957-12-31,16650052,2.99
1958-12-31,17113389,2.78
1959-12-31,17524906,2.4
1960-12-31,17909356,2.19
1961-12-31,18273684,2.03
1962-12-31,18622345,1.91
1963-12-31,18971005,1.87
1964-12-31,19326326,1.87
1965-12-31,19688805,1.88
1966-12-31,20055232,1.86
1967-12-31,20408050,1.76
1968-12-31,20731929,1.59
1969-12-31,21033940,1.46
1970-12-31,21434577,1.9
1971-12-31,21888679,2.12
1972-12-31,22222221,1.52
1973-12-31,22502029,1.26
1974-12-31,22812432,1.38
1975-12-31,23136252,1.42
1976-12-31,23442114,1.32
1977-12-31,23715308,1.17
1978-12-31,23962690,1.04
1979-12-31,24219124,1.07
1980-12-31,24511510,1.21
1981-12-31,24815786,1.24
1982-12-31,25101518,1.15
1983-12-31,25360726,1.03
1984-12-31,25602075,0.95
1985-12-31,25843922,0.94
1986-12-31,26116071,1.05
1987-12-31,26436889,1.23
1988-12-31,26815064,1.43
1989-12-31,27244406,1.6
1990-12-31,27657204,1.52
1991-12-31,28015761,1.3
1992-12-31,28347641,1.18
1993-12-31,28668166,1.13
1994-12-31,28981189,1.09
1995-12-31,29289423,1.06
1996-12-31,29593849,1.04
1997-12-31,29882752,0.98
1998-12-31,30144812,0.88
1999-12-31,30399778,0.85
2000-12-31,30683313,0.93
2001-12-31,31002763,1.04
2002-12-31,31322398,1.03
2003-12-31,31619450,0.95
2004-12-31,31911668,0.92
2005-12-31,32215916,0.95
2006-12-31,32531867,0.98
2007-12-31,32862459,1.02
2008-12-31,33218541,1.08
2009-12-31,33593917,1.13
2010-12-31,33963412,1.1
2011-12-31,34323531,1.06
2012-12-31,34691878,1.07
2013-12-31,35063691,1.07
2014-12-31,35404608,0.97
2015-12-31,35732126,0.93
2016-12-31,36113532,1.07
2017-12-31,36554348,1.22
2018-12-31,37035254,1.32
2019-12-31,37522584,1.32
2020-12-31,37888705,0.98
2021-12-31,38155012,0.7
2022-12-31,38454327,0.78
2023-12-31,38781291,0.85
2024-12-31,39107046,0.84
2025-12-31,39431447,0.83
2026-12-31,39753766,0.82
2027-12-31,40071427,0.8
2028-12-31,40385878,0.78
2029-12-31,40697516,0.77
2030-12-31,41008596,0.76
2031-12-31,41319872,0.76
2032-12-31,41626319,0.74
2033-12-31,41926289,0.72
2034-12-31,42218806,0.7
2035-12-31,42503204,0.67
2036-12-31,42780162,0.65
2037-12-31,43051176,0.63
2038-12-31,43315598,0.61
2039-12-31,43572770,0.59
2040-12-31,43822969,0.57
2041-12-31,44062266,0.55
2042-12-31,44290533,0.52
2043-12-31,44510982,0.5
2044-12-31,44724547,0.48
2045-12-31,44932177,0.46
2046-12-31,45134172,0.45
2047-12-31,45330641,0.44
2048-12-31,45521680,0.42
2049-12-31,45708266,0.41
2050-12-31,45890819,0.4
2051-12-31,46068624,0.39
2052-12-31,46243955,0.38
2053-12-31,46418610,0.38
2054-12-31,46591933,0.37
2055-12-31,46763893,0.37
2056-12-31,46936016,0.37
2057-12-31,47109533,0.37
2058-12-31,47284355,0.37
2059-12-31,47460228,0.37
2060-12-31,47637601,0.37
2061-12-31,47818581,0.38
2062-12-31,48002082,0.38
2063-12-31,48186580,0.38
2064-12-31,48373234,0.39
2065-12-31,48562184,0.39
2066-12-31,48752676,0.39
2067-12-31,48943491,0.39
2068-12-31,49133876,0.39
2069-12-31,49323233,0.39
2070-12-31,49510916,0.38
2071-12-31,49696106,0.37
2072-12-31,49878406,0.37
2073-12-31,50058213,0.36
2074-12-31,50235437,0.35
2075-12-31,50408171,0.34
2076-12-31,50575618,0.33
2077-12-31,50738643,0.32
2078-12-31,50897357,0.31
2079-12-31,51052193,0.3
2080-12-31,51202541,0.29
2081-12-31,51348901,0.29
2082-12-31,51492029,0.28
2083-12-31,51632492,0.27
2084-12-31,51770455,0.27
2085-12-31,51904994,0.26
2086-12-31,52037317,0.25
2087-12-31,52168306,0.25
2088-12-31,52297522,0.25
2089-12-31,52425424,0.24
2090-12-31,52552741,0.24
2091-12-31,52680580,0.24
2092-12-31,52810045,0.25
2093-12-31,52941166,0.25
2094-12-31,53074202,0.25
2095-12-31,53208819,0.25
2096-12-31,53344647,0.26
2097-12-31,53482776,0.26
2098-12-31,53622294,0.26
2099-12-31,53762154,0.26
2100-12-31,53903779,0.26
